id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603711@材料化學導論@2@1,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603902@專題研究(二)@2@1,2601101@普通化學（一）@1@3,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2604702@專題研究（四）@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
401260001,55,60,62,85,63,64,NaN,70,60,NaN,NaN,70,61,72,60,60,NaN,NaN,76,NaN,NaN,76,72,NaN,NaN,66,72,76,NaN,NaN,60,82,60,NaN,50,60,82,NaN,NaN,65,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,69
401260002,60,72,72,NaN,62,62,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260003,77,80,76,85,83,84,NaN,95,83,NaN,NaN,82,99,84,95,79,NaN,NaN,97,NaN,NaN,98,85,NaN,90,88,75,78,NaN,NaN,90,84,NaN,80,95,86,86,94,80,NaN,80,82,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401260004,84,75,84,NaN,72,77,95,80,76,NaN,NaN,77,93,75,76,76,NaN,NaN,75,NaN,NaN,90,NaN,74,NaN,72,88,76,NaN,NaN,76,83,65,NaN,77,75,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,85
401260005,63,69,60,85,63,60,NaN,60,67,NaN,NaN,84,60,67,63,72,NaN,NaN,85,NaN,NaN,60,70,NaN,NaN,75,81,80,NaN,NaN,70,79,67,NaN,70,86,83,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,73,NaN
401260006,62,73,61,NaN,60,72,80,61,72,NaN,NaN,84,72,71,60,71,NaN,NaN,77,NaN,NaN,79,71,NaN,NaN,62,73,85,NaN,NaN,73,79,65,NaN,69,66,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,81,NaN
401260007,67,83,76,85,86,86,NaN,66,77,NaN,NaN,100,72,80,68,75,NaN,NaN,96,NaN,NaN,83,80,NaN,NaN,93,65,80,NaN,NaN,NaN,86,73,85,76,70,84,NaN,90,NaN,90,NaN,NaN,NaN,90,85,NaN,NaN,NaN,90
401260008,68,78,64,NaN,74,86,88,63,81,NaN,NaN,93,70,81,74,86,NaN,NaN,81,NaN,NaN,78,NaN,84,NaN,61,63,79,NaN,NaN,65,82,76,NaN,90,72,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,75,NaN,NaN
401260009,67,72,69,85,65,66,NaN,61,79,NaN,NaN,60,64,72,66,66,NaN,NaN,65,NaN,NaN,71,61,NaN,NaN,68,76,75,NaN,NaN,60,63,60,NaN,-1,-1,84,65,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN
401260010,79,81,67,NaN,83,77,95,60,72,NaN,NaN,86,79,74,49,66,NaN,NaN,12,NaN,NaN,60,70,NaN,NaN,49,39,77,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
