id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1
405415003,46,NaN,NaN,99,NaN,73,75,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415005,49,NaN,99,NaN,NaN,59,NaN,80,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415007,71,NaN,97,NaN,62,NaN,NaN,71,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415009,95,NaN,99,NaN,NaN,85,91,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415011,85,NaN,NaN,99,NaN,84,NaN,87,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405415013,80,NaN,NaN,99,92,NaN,86,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415015,45,NaN,96,NaN,NaN,NaN,69,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415017,72,NaN,97,NaN,54,NaN,94,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405415019,83,NaN,NaN,98,NaN,60,84,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415021,84,NaN,99,NaN,NaN,70,89,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415023,65,NaN,NaN,98,NaN,21,72,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415027,93,NaN,99,NaN,63,NaN,72,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415029,80,NaN,NaN,99,NaN,75,NaN,69,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1
405415031,90,NaN,96,NaN,NaN,55,76,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415033,100,NaN,NaN,98,64,NaN,NaN,87,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415035,76,NaN,98,NaN,NaN,63,94,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405415039,78,NaN,NaN,99,61,NaN,74,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405415041,75,NaN,99,NaN,NaN,46,NaN,79,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415043,81,NaN,98,NaN,61,NaN,86,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415045,66,NaN,99,NaN,NaN,71,75,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415047,62,NaN,98,NaN,NaN,67,74,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415049,45,NaN,NaN,98,71,NaN,NaN,68,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415051,71,NaN,98,NaN,NaN,71,NaN,72,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415053,78,NaN,NaN,98,67,NaN,89,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415054,60,NaN,NaN,NaN,NaN,12,73,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405415061,48,NaN,NaN,92,18,NaN,NaN,70,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415065,84,NaN,NaN,96,NaN,62,90,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405415067,60,NaN,NaN,98,64,NaN,83,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415069,100,NaN,NaN,99,88,NaN,89,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415071,68,NaN,97,NaN,64,NaN,78,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405415073,74,NaN,NaN,98,NaN,11,NaN,88,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405415075,82,NaN,99,NaN,NaN,84,94,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415079,86,NaN,97,NaN,75,NaN,74,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
