id,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@4,5153340@期貨與選擇權@1@2,5154441@不動產概論@1@1,5151009@民法概要@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@4,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5154315@銀行管理@2@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@2,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152102@財務管理@2@1,5153100@財務理論與政策@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154400@風險管理與保險@2@1
403510087,91,82,NaN,NaN,NaN,NaN,94,84,NaN,78,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510008,NaN,75,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510009,NaN,93,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510045,NaN,90,NaN,NaN,85,NaN,NaN,88,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510054,NaN,86,NaN,NaN,NaN,NaN,NaN,81,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510065,NaN,84,NaN,NaN,NaN,NaN,NaN,76,NaN,-1,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510090,NaN,70,NaN,NaN,NaN,NaN,NaN,75,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,NaN
403510094,NaN,95,NaN,89,NaN,NaN,NaN,94,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403510098,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,81,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510102,NaN,81,NaN,NaN,NaN,NaN,NaN,75,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN
403510001,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,70,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510003,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510010,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403510011,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,73,NaN,NaN,79,80,NaN,NaN,NaN,NaN,-1,NaN,-1
