id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5261105@初級會計學（二）@2@1,5261610@民法概要@2@1,5261611@商用軟體應用與設計@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5262203@公司法@1@1,5262207@採購管理@1@1,5262407@統計學（二）@1@1,5262601@資料庫管理@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1,5262300@系統分析與設計@2@1,5263109@審計學（一）@2@1
404526001,90,90,94,76,87,NaN,93,NaN,77,NaN,83,81,89,-1,-1,-1,NaN,-1,NaN
404526002,61,NaN,62,78,NaN,80,70,68,NaN,NaN,67,60,79,-1,-1,-1,NaN,-1,NaN
404526003,61,90,66,75,80,NaN,66,62,77,NaN,68,63,83,-1,-1,NaN,NaN,-1,NaN
404526004,77,NaN,76,77,79,80,83,66,82,NaN,80,84,81,-1,-1,NaN,NaN,-1,NaN
404526005,80,90,95,78,84,NaN,94,61,85,NaN,84,85,89,-1,-1,NaN,NaN,-1,NaN
404526006,70,NaN,65,77,80,80,71,60,83,NaN,82,67,78,-1,-1,NaN,NaN,-1,NaN
404526008,73,NaN,70,78,-1,80,70,61,82,NaN,86,61,90,-1,-1,-1,-1,-1,NaN
404526009,91,90,71,75,72,NaN,80,63,77,NaN,81,78,81,-1,-1,NaN,NaN,-1,-1
404526010,67,NaN,73,76,-1,80,83,NaN,86,NaN,80,81,81,-1,-1,NaN,NaN,-1,NaN
404526011,67,90,-1,74,68,NaN,45,60,NaN,NaN,66,68,73,-1,NaN,-1,NaN,-1,NaN
404526012,71,NaN,67,76,NaN,80,71,60,72,NaN,67,74,NaN,-1,-1,NaN,NaN,-1,NaN
404526013,87,90,80,77,85,NaN,86,71,NaN,NaN,84,70,82,-1,-1,-1,NaN,-1,NaN
404526014,87,NaN,92,76,87,80,89,65,90,NaN,83,85,85,-1,-1,NaN,NaN,-1,NaN
404526015,90,90,87,77,93,NaN,92,69,91,NaN,92,90,90,-1,-1,-1,NaN,-1,NaN
404526016,60,NaN,84,77,-1,80,70,61,81,NaN,83,79,NaN,-1,-1,NaN,NaN,-1,NaN
404526017,73,90,75,76,80,NaN,82,60,81,NaN,77,75,85,-1,-1,NaN,NaN,-1,NaN
404526018,73,NaN,70,77,-1,80,78,69,76,NaN,84,79,84,-1,-1,NaN,NaN,-1,NaN
404526019,65,90,60,76,75,NaN,65,NaN,72,NaN,81,65,78,-1,-1,NaN,NaN,-1,NaN
404526020,68,NaN,78,75,83,80,79,62,80,NaN,75,76,84,-1,-1,-1,NaN,-1,NaN
404526021,76,90,75,74,-1,NaN,80,60,90,NaN,76,76,81,-1,-1,NaN,NaN,-1,NaN
404526022,76,NaN,73,76,84,80,80,60,79,NaN,77,77,83,-1,-1,NaN,NaN,-1,NaN
404526023,82,90,72,76,85,NaN,88,63,81,NaN,79,70,86,-1,-1,NaN,NaN,-1,NaN
404526024,80,NaN,83,76,80,80,87,61,84,NaN,86,74,86,-1,-1,-1,NaN,-1,NaN
404526025,41,90,-1,76,60,NaN,39,NaN,NaN,NaN,71,55,NaN,-1,NaN,-1,NaN,-1,NaN
404526026,70,NaN,72,77,88,80,66,62,85,NaN,74,65,76,-1,-1,NaN,NaN,-1,-1
404526027,61,90,67,76,67,NaN,69,NaN,87,79,81,60,83,-1,-1,NaN,NaN,-1,NaN
404526028,48,NaN,68,75,55,80,68,60,65,NaN,75,60,NaN,-1,NaN,NaN,NaN,-1,NaN
404526029,65,90,70,72,-1,NaN,71,66,72,NaN,69,66,79,-1,-1,NaN,NaN,-1,NaN
404526030,67,NaN,64,77,74,80,68,64,82,NaN,80,57,84,-1,-1,-1,NaN,-1,NaN
404526031,78,90,77,79,NaN,NaN,79,NaN,90,NaN,80,70,86,-1,-1,-1,-1,-1,-1
404526032,80,NaN,76,77,82,80,83,60,85,NaN,82,85,82,-1,-1,NaN,NaN,-1,-1
404526033,84,90,76,78,84,NaN,75,68,77,NaN,75,66,NaN,-1,-1,-1,NaN,-1,NaN
404526035,50,90,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404526036,65,NaN,71,76,75,80,86,67,86,NaN,81,74,85,-1,-1,NaN,NaN,-1,NaN
404526037,54,90,63,79,87,NaN,69,60,81,NaN,82,56,85,-1,NaN,-1,NaN,-1,NaN
404526038,72,NaN,80,80,83,80,82,65,85,NaN,87,74,83,-1,-1,NaN,NaN,-1,-1
404526039,61,90,76,75,NaN,NaN,63,65,71,NaN,68,63,79,-1,-1,-1,NaN,-1,NaN
404526040,62,NaN,60,76,NaN,80,26,69,NaN,NaN,56,53,75,-1,-1,NaN,NaN,-1,NaN
404526041,60,90,76,76,-1,NaN,37,60,71,NaN,71,65,NaN,-1,-1,NaN,NaN,-1,NaN
404526042,80,NaN,74,75,NaN,80,77,62,76,NaN,69,71,NaN,-1,-1,NaN,NaN,-1,NaN
404526043,63,90,71,76,85,NaN,71,NaN,90,NaN,83,64,82,-1,-1,NaN,NaN,-1,-1
404526044,60,NaN,-1,76,79,80,68,NaN,80,NaN,74,70,76,-1,NaN,-1,NaN,-1,NaN
404526045,82,90,67,77,76,NaN,75,62,79,NaN,78,74,89,-1,-1,-1,NaN,-1,NaN
404526046,62,NaN,87,75,78,80,83,NaN,74,NaN,80,70,80,-1,-1,-1,NaN,-1,NaN
404526047,85,90,77,76,76,NaN,83,64,85,NaN,82,63,85,-1,-1,NaN,NaN,-1,-1
404526048,70,NaN,65,76,NaN,80,77,NaN,72,NaN,61,65,80,-1,-1,-1,NaN,-1,NaN
404526049,70,90,80,79,92,NaN,83,72,69,NaN,81,80,88,-1,-1,-1,NaN,-1,NaN
404526050,81,NaN,88,79,88,80,90,60,76,NaN,83,83,91,-1,-1,-1,NaN,-1,NaN
404526051,65,90,63,76,76,NaN,88,62,78,NaN,80,65,88,-1,-1,NaN,NaN,-1,NaN
404526052,60,NaN,60,70,NaN,80,41,NaN,72,NaN,68,40,NaN,-1,-1,NaN,NaN,-1,NaN
404526053,70,90,77,76,80,NaN,74,60,80,NaN,77,67,87,-1,-1,NaN,NaN,-1,NaN
404526054,64,NaN,65,75,64,80,64,67,72,NaN,60,65,NaN,-1,-1,-1,NaN,-1,NaN
404526055,82,90,95,74,-1,NaN,84,65,78,NaN,85,83,84,-1,-1,-1,NaN,-1,NaN
404526056,66,NaN,-1,77,86,80,63,60,78,NaN,76,64,NaN,-1,NaN,-1,NaN,-1,NaN
404526057,70,90,74,76,76,NaN,63,60,78,NaN,71,64,79,-1,-1,NaN,NaN,-1,NaN
404526058,60,NaN,48,76,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404526059,NaN,NaN,NaN,NaN,NaN,NaN,71,61,91,NaN,81,69,NaN,-1,-1,-1,NaN,-1,NaN
404526060,NaN,NaN,NaN,NaN,NaN,NaN,75,69,94,NaN,87,76,NaN,-1,-1,-1,NaN,-1,NaN
