id,5301106@商用電腦概論@1@1,5301888@學系服務學習@1@1,5302102@程式語言與設計@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301215@科技法律@2@1,5301888@學系服務學習@2@1,5302115@醫療資訊系統@2@1,5302215@管理學@2@1,5303211@軟體工程@2@1,5303224@醫務管理@2@1,5301105@計算機概論@1@1,5301216@程式設計@1@1,5302104@統計學（一）@1@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302216@資訊管理導論@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303225@健康保險@2@1,5304219@策略資訊管理@2@1,5302218@科技法律@1@1,5303102@系統分析與設計@1@1,5303110@行銷管理@1@1,5303224@醫務管理@1@1,5303227@電子商務@1@1,5304220@資訊管理個案研究@1@1,5301217@資訊管理導論@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303229@專案開發（一）@2@1,5303231@資訊安全管理@2@1,5304214@顧客關係管理@2@1,5304217@專案開發（二）@2@1,5303101@管理科學概論@1@1,5303210@資訊安全@1@1,5303229@專案開發（一）@1@1,5303232@財務管理@1@1,5304217@專案開發（二）@1@1,5304218@管理資訊系統@1@1,5303222@多媒體系統@2@1,5303233@專案開發(二)@2@1
401530001,70,80,85,62,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,78,NaN,82,87,77,67,73,NaN,85,NaN,75,NaN,82,77,NaN,NaN,91,78,88,79,NaN,NaN,NaN,0,NaN,NaN,90,80,NaN,NaN
401530002,73,NaN,71,71,100,80,92,NaN,NaN,NaN,NaN,NaN,88,73,88,78,87,86,75,75,NaN,NaN,NaN,80,NaN,85,84,93,NaN,90,83,90,NaN,93,NaN,NaN,NaN,NaN,NaN,87,92,80,NaN
401530003,72,80,62,71,76,NaN,76,NaN,NaN,NaN,NaN,NaN,76,68,73,77,86,NaN,77,71,NaN,88,NaN,79,NaN,88,86,92,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN
401530004,64,NaN,67,70,94,80,88,NaN,NaN,NaN,NaN,NaN,83,63,84,84,90,73,71,69,NaN,NaN,NaN,78,NaN,87,83,92,NaN,90,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,93,NaN,NaN
401530005,78,80,85,75,58,NaN,NaN,90,80,NaN,NaN,NaN,62,62,83,77,89,84,64,71,NaN,NaN,67,75,87,NaN,79,88,NaN,90,80,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,86,NaN,NaN
401530006,76,NaN,74,72,91,80,83,NaN,NaN,NaN,NaN,NaN,78,60,73,80,87,82,70,72,NaN,NaN,NaN,76,93,86,85,93,NaN,NaN,91,98,NaN,94,NaN,NaN,NaN,NaN,NaN,87,96,88,NaN
401530007,64,80,53,68,87,NaN,NaN,NaN,NaN,NaN,NaN,68,70,73,74,72,87,NaN,60,68,80,NaN,NaN,77,NaN,NaN,79,82,NaN,80,86,88,88,NaN,NaN,NaN,NaN,NaN,NaN,91,86,NaN,NaN
401530008,81,NaN,74,72,100,80,NaN,NaN,78,NaN,NaN,NaN,77,66,90,82,87,NaN,73,70,70,NaN,NaN,79,NaN,83,83,91,NaN,80,88,88,84,NaN,NaN,NaN,NaN,NaN,79,91,86,NaN,NaN
401530009,78,80,72,82,100,NaN,NaN,90,NaN,NaN,NaN,NaN,84,73,69,86,89,74,62,73,80,NaN,NaN,72,NaN,NaN,82,87,NaN,91,81,90,NaN,NaN,NaN,92,NaN,NaN,NaN,91,92,NaN,NaN
401530010,75,NaN,72,72,98,80,NaN,NaN,NaN,NaN,NaN,NaN,90,72,NaN,88,92,NaN,94,85,92,90,NaN,82,NaN,89,89,NaN,NaN,92,95,99,93,NaN,NaN,NaN,NaN,NaN,NaN,89,90,NaN,NaN
401530011,63,80,57,60,95,NaN,83,NaN,NaN,NaN,NaN,74,75,84,66,75,86,NaN,65,66,72,NaN,NaN,76,NaN,87,82,85,NaN,NaN,81,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,85,NaN,NaN
401530012,77,NaN,71,66,86,80,NaN,NaN,NaN,NaN,NaN,NaN,99,80,88,79,87,84,90,96,NaN,NaN,NaN,79,NaN,88,85,93,NaN,90,86,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,96,98,NaN
401530015,76,80,72,71,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,65,88,69,87,72,78,61,NaN,NaN,NaN,74,NaN,81,84,80,NaN,80,82,88,NaN,NaN,NaN,NaN,65,NaN,NaN,91,78,NaN,NaN
401530016,40,NaN,53,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530017,72,80,48,73,100,NaN,NaN,NaN,NaN,NaN,NaN,65,82,78,68,76,87,NaN,72,75,69,NaN,NaN,76,90,82,82,86,NaN,NaN,84,90,84,NaN,NaN,82,NaN,NaN,NaN,NaN,87,NaN,86
401530018,68,NaN,85,62,82,80,NaN,NaN,NaN,NaN,NaN,NaN,52,60,87,69,90,NaN,33,66,63,NaN,NaN,70,NaN,NaN,70,72,NaN,NaN,0,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530021,62,80,76,76,93,NaN,81,NaN,NaN,NaN,NaN,NaN,81,77,76,87,86,85,70,69,NaN,NaN,NaN,78,NaN,82,84,90,NaN,NaN,81,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,91,NaN,NaN
401530022,66,NaN,62,82,83,80,NaN,NaN,NaN,NaN,NaN,NaN,70,71,81,75,84,65,70,61,NaN,NaN,NaN,73,81,80,78,NaN,NaN,NaN,NaN,97,NaN,75,NaN,NaN,68,NaN,NaN,88,78,67,NaN
401530023,66,80,46,61,88,NaN,NaN,NaN,67,NaN,NaN,64,70,79,81,74,87,NaN,66,62,70,NaN,NaN,76,NaN,83,79,87,NaN,85,86,85,NaN,82,NaN,88,62,NaN,79,NaN,88,56,86
401530024,56,NaN,55,76,86,80,NaN,NaN,NaN,NaN,67,61,73,69,70,75,87,NaN,81,60,63,NaN,NaN,74,NaN,79,70,71,NaN,NaN,80,88,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,87,8,84
401530025,82,80,63,70,96,NaN,92,NaN,NaN,NaN,NaN,NaN,95,79,89,88,87,98,84,91,NaN,NaN,NaN,86,NaN,90,94,96,NaN,93,98,99,NaN,95,NaN,NaN,NaN,NaN,NaN,87,96,98,NaN
401530027,37,80,32,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530028,80,NaN,74,68,93,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530029,71,80,47,66,77,NaN,82,NaN,NaN,NaN,NaN,79,81,68,NaN,81,92,NaN,81,70,NaN,NaN,NaN,76,NaN,85,80,NaN,NaN,85,82,90,NaN,NaN,NaN,82,80,NaN,NaN,NaN,87,NaN,84
401530030,57,NaN,65,86,88,80,83,NaN,NaN,NaN,86,NaN,75,93,84,73,92,64,78,97,NaN,NaN,NaN,79,NaN,NaN,85,NaN,NaN,NaN,84,NaN,NaN,88,98,NaN,NaN,87,NaN,NaN,92,86,NaN
401530031,65,80,64,63,95,NaN,72,NaN,NaN,NaN,NaN,NaN,81,68,68,81,86,NaN,71,76,NaN,86,NaN,77,NaN,84,85,90,NaN,NaN,83,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,90,NaN,NaN
401530032,73,NaN,48,67,88,80,88,NaN,NaN,NaN,NaN,87,78,80,65,77,86,NaN,67,70,72,NaN,NaN,78,NaN,87,81,88,NaN,NaN,81,NaN,NaN,NaN,88,NaN,NaN,91,NaN,NaN,84,NaN,NaN
401530033,81,80,72,64,99,NaN,83,NaN,NaN,NaN,NaN,NaN,87,70,84,79,84,93,84,73,NaN,86,NaN,77,NaN,83,86,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,91,NaN,NaN
401530034,70,NaN,69,65,91,80,NaN,NaN,NaN,NaN,NaN,NaN,80,68,75,73,84,NaN,86,62,NaN,88,NaN,76,NaN,82,83,75,NaN,81,81,NaN,NaN,NaN,88,NaN,77,90,NaN,NaN,88,NaN,NaN
401530036,67,NaN,68,67,74,80,86,NaN,NaN,78,NaN,NaN,72,86,81,83,84,NaN,70,68,90,NaN,NaN,76,90,NaN,81,85,NaN,87,80,86,NaN,NaN,88,NaN,75,NaN,NaN,NaN,85,68,NaN
